id,mutation_count,balance_id,user_id,dated_at,size,PP,description,show,created_at,updated_at
1,1,1,1,17-09-18 0:00,11,1.83,Koffie & wc papier,1,17-12-29 23:14,17-12-29 23:14
2,2,1,1,17-09-19 0:00,12.95,2.16,"Duct tape, klemmetjes & tiewraps",1,17-12-29 23:14,17-12-29 23:14
3,3,1,1,17-09-19 0:00,10.63,1.77,"Afwasmiddelen, doekjes, schijtlint",1,17-12-29 23:14,17-12-29 23:14
4,4,1,1,17-09-19 0:00,12.04,2.01,Groene vis curry,1,17-12-29 23:14,17-12-29 23:14
5,5,1,1,17-09-20 0:00,15.61,3.9,beenham,1,17-12-29 23:14,17-12-29 23:14
6,6,1,3,17-09-22 0:00,10.8,3.6,tonijn pasta,1,17-12-29 23:14,17-12-29 23:14
7,7,1,4,17-09-25 0:00,3.7,0.62,stasiegeld,1,17-12-29 23:14,17-12-29 23:14
8,8,1,4,17-09-24 0:00,7.38,2.46,"kip, paprika en ice",1,17-12-29 23:14,17-12-29 23:14
9,9,1,1,17-08-31 0:00,6,3,Clubavond pils,1,17-12-29 23:14,17-12-29 23:14
10,10,1,5,17-09-13 0:00,5.27,5.27,pasta bief toen hj nog nietin flappentap stond,1,17-12-29 23:14,17-12-29 23:14
11,11,1,5,17-09-26 0:00,44.18,7.36,dimmer GR,1,17-12-29 23:14,17-12-29 23:14
12,12,1,1,17-09-26 0:00,12.35,2.06,KK veel vaatwasblokjes,1,17-12-29 23:14,17-12-29 23:14
13,13,1,2,17-09-26 0:00,10.83,5.42,pasta met kip,1,17-12-29 23:14,17-12-29 23:14
14,14,1,3,17-09-26 0:00,7.8,1.3,statiegeld,1,17-12-29 23:14,17-12-29 23:14
15,15,1,3,17-09-26 0:00,9.99,9.99,krat voor kut hj,1,17-12-29 23:14,17-12-29 23:14
16,16,1,3,17-09-26 0:00,14.6,2.92,"slavinken, puree, gegrilde groenten",1,17-12-29 23:14,17-12-29 23:14
17,17,1,5,17-09-27 0:00,16.67,16.67,50/3 afstuderen schult,1,17-12-29 23:14,17-12-29 23:14
18,18,1,3,17-09-28 0:00,11,11,"ov kaart, kut HJ",1,17-12-29 23:14,17-12-29 23:14
19,19,1,1,17-09-27 0:00,17.68,4.42,Mc wrap,1,17-12-29 23:14,17-12-29 23:14
20,20,1,1,17-09-27 0:00,4.69,0.78,Statiegeld & uien,1,17-12-29 23:14,17-12-29 23:14
21,21,1,5,17-09-28 0:00,10,1.67,40 WC ROLLEN BONUS,1,17-12-29 23:14,17-12-29 23:14
22,22,1,2,17-10-01 0:00,4.79,4.79,pasta salade,1,17-12-29 23:14,17-12-29 23:14
23,23,1,2,17-10-01 0:00,60,60,scoopje voor bobo,1,17-12-29 23:14,17-12-29 23:14
24,24,1,2,17-10-01 0:00,17.3,4.33,pasta pesto,1,17-12-29 23:14,17-12-29 23:14
25,25,1,3,17-09-30 0:00,4.12,0.69,dille mierikswortel sjalotten,1,17-12-29 23:14,17-12-29 23:14
26,26,1,1,17-10-02 0:00,6.44,1.07,Doekjes en MR MUSCLE,1,17-12-29 23:14,17-12-29 23:14
27,27,1,1,17-10-02 0:00,5.71,1.9,Lekker maaltje,1,17-12-29 23:14,17-12-29 23:14
28,28,1,4,17-10-04 0:00,22.52,4.5,curry met appel,1,17-12-29 23:14,17-12-29 23:14
29,29,1,4,17-10-04 0:00,3.48,0.58,ho curry en zout,1,17-12-29 23:14,17-12-29 23:14
30,30,1,1,17-10-04 0:00,12.68,2.11,statiegeld + coffye + cokechips,1,17-12-29 23:14,17-12-29 23:14
31,31,1,1,17-10-05 0:00,3.82,0.64,Shampoo,1,17-12-29 23:14,17-12-29 23:14
32,32,1,5,17-10-07 0:00,7.55,7.55,mac,1,17-12-29 23:14,17-12-29 23:14
33,33,1,6,17-10-07 0:00,6.19,3.1,pizza,1,17-12-29 23:14,17-12-29 23:14
34,34,1,4,17-10-05 0:00,16.66,3.33,kip met fried rice,1,17-12-29 23:14,17-12-29 23:14
35,35,1,2,17-10-08 0:00,12.37,2.06,"Olie, koffie, dreft, en veel meer HO crap",1,17-12-29 23:14,17-12-29 23:14
36,36,1,2,17-10-08 0:00,5,5,Yokaine,1,17-12-29 23:14,17-12-29 23:14
37,37,1,1,17-10-09 0:00,14.08,4.69,Pasta met extra kip,1,17-12-29 23:14,17-12-29 23:14
38,38,1,1,17-10-09 0:00,16.86,8.43,Bonus pils,1,17-12-29 23:14,17-12-29 23:14
